job_id,job_title,salary_avg,skill
72,Senior Data Scientist,58000.0,Data mining
72,Senior Data Scientist,58000.0,Deep learning
73,Junior Big Data Engineer,40500.0,Power BI
73,Junior Big Data Engineer,40500.0,R
73,Junior Big Data Engineer,40500.0,SQL
73,Junior Big Data Engineer,40500.0,Agile
73,Junior Big Data Engineer,40500.0,IT
74,Data Scientist - Kraken Field Platform,45000.0,Azure
74,Data Scientist - Kraken Field Platform,45000.0,R
74,Data Scientist - Kraken Field Platform,45000.0,Data analysis skills
74,Data Scientist - Kraken Field Platform,45000.0,Google Cloud Platform
74,Data Scientist - Kraken Field Platform,45000.0,SQL
75,Data Scientist,49000.0,MATLAB
75,Data Scientist,49000.0,Signal processing
75,Data Scientist,49000.0,FPGA
75,Data Scientist,49000.0,Software deployment
75,Data Scientist,49000.0,C++
76,Data Science Apprentice,40000.0,TensorFlow
76,Data Science Apprentice,40000.0,Power BI
76,Data Science Apprentice,40000.0,SQL
76,Data Science Apprentice,40000.0,Presentation skills
76,Data Science Apprentice,40000.0,Machine learning
77,Data Engineer,56000.0,Azure
77,Data Engineer,56000.0,AWS
77,Data Engineer,56000.0,Analysis skills
77,Data Engineer,56000.0,Machine learning
77,Data Engineer,56000.0,Deep learning
78,Data Scientist - Radar Systems,84000.0,Spark
78,Data Scientist - Radar Systems,84000.0,SQL
78,Data Scientist - Radar Systems,84000.0,Machine learning
78,Data Scientist - Radar Systems,84000.0,Deep learning
78,Data Scientist - Radar Systems,84000.0,Predictive analytics
79,Data Scientist,58000.0,Software deployment
79,Data Scientist,58000.0,Data science
79,Data Scientist,58000.0,Clustering
79,Data Scientist,58000.0,Communication skills
79,Data Scientist,58000.0,Python
80,"Data Scientist, Reuters",67000.0,Elasticsearch
80,"Data Scientist, Reuters",67000.0,Relational databases
80,"Data Scientist, Reuters",67000.0,Spark
80,"Data Scientist, Reuters",67000.0,R
80,"Data Scientist, Reuters",67000.0,NoSQL
81,"Senior Decision Scientist, UK 2024",60000.0,Git
81,"Senior Decision Scientist, UK 2024",60000.0,Data science
82,Data Scientist - Optimisation,69000.0,Analysis skills
82,Data Scientist - Optimisation,69000.0,Machine learning
82,Data Scientist - Optimisation,69000.0,Financial services
82,Data Scientist - Optimisation,69000.0,Data science
82,Data Scientist - Optimisation,69000.0,AI
83,Data Scientist,84000.0,Natural language processing
83,Data Scientist,84000.0,Cloud computing
84,Data Scientist,50000.0,Power BI
84,Data Scientist,50000.0,R
84,Data Scientist,50000.0,Git
84,Data Scientist,50000.0,SQL
84,Data Scientist,50000.0,Analysis skills
85,Pensions Data Scientist,24500.0,Power BI
85,Pensions Data Scientist,24500.0,Azure
85,Pensions Data Scientist,24500.0,SQL
85,Pensions Data Scientist,24500.0,Machine learning
85,Pensions Data Scientist,24500.0,Data management
86,Data Scientist – NLP,62500.0,Jira
86,Data Scientist – NLP,62500.0,Azure
86,Data Scientist – NLP,62500.0,Git
86,Data Scientist – NLP,62500.0,Tableau
86,Data Scientist – NLP,62500.0,SQL
87,R Shiny Application Developer (Data Scientist),55000.0,TensorFlow
87,R Shiny Application Developer (Data Scientist),55000.0,C++
87,R Shiny Application Developer (Data Scientist),55000.0,Machine learning
87,R Shiny Application Developer (Data Scientist),55000.0,Deep learning
87,R Shiny Application Developer (Data Scientist),55000.0,Mentoring
88,Data Scientist,43000.0,Data analysis skills
88,Data Scientist,43000.0,Presentation skills
88,Data Scientist,43000.0,Data science
88,Data Scientist,43000.0,Python
89,Data Scientist (DSM),72000.0,Jira
89,Data Scientist (DSM),72000.0,TensorFlow
89,Data Scientist (DSM),72000.0,Software deployment
89,Data Scientist (DSM),72000.0,Google Cloud Platform
89,Data Scientist (DSM),72000.0,Tableau
90,Natural Language Processing (NLP) Data Scientist (KTP Associate),49500.0,TensorFlow
90,Natural Language Processing (NLP) Data Scientist (KTP Associate),49500.0,Git
90,Natural Language Processing (NLP) Data Scientist (KTP Associate),49500.0,AWS
90,Natural Language Processing (NLP) Data Scientist (KTP Associate),49500.0,Machine learning
90,Natural Language Processing (NLP) Data Scientist (KTP Associate),49500.0,Deep learning
91,Software Engineer – Data Scientist / Bioinformatics,40500.0,TensorFlow
91,Software Engineer – Data Scientist / Bioinformatics,40500.0,R
91,Software Engineer – Data Scientist / Bioinformatics,40500.0,Machine learning
91,Software Engineer – Data Scientist / Bioinformatics,40500.0,Natural language processing
91,Software Engineer – Data Scientist / Bioinformatics,40500.0,Conversion optimisation
92,Data Scientist,108500.0,Machine learning
92,Data Scientist,108500.0,Natural language processing
92,Data Scientist,108500.0,IT
92,Data Scientist,108500.0,Data science
92,Data Scientist,108500.0,Data visualisation
93,Data Scientist,66000.0,Jira
93,Data Scientist,66000.0,Bamboo
93,Data Scientist,66000.0,Kubernetes
93,Data Scientist,66000.0,Docker
93,Data Scientist,66000.0,Machine learning
94,Senior Data Scientist,37500.0,TensorFlow
94,Senior Data Scientist,37500.0,Tableau
94,Senior Data Scientist,37500.0,SQL
94,Senior Data Scientist,37500.0,Machine learning
94,Senior Data Scientist,37500.0,Deep learning
95,Data Scientist,83000.0,SQL
95,Data Scientist,83000.0,Product management
95,Data Scientist,83000.0,B2B
95,Data Scientist,83000.0,AI
95,Data Scientist,83000.0,Communication skills
96,Data Scientist,37500.0,Google Cloud Platform
96,Data Scientist,37500.0,C++
96,Data Scientist,37500.0,C
96,Data Scientist,37500.0,Machine learning
96,Data Scientist,37500.0,Deep learning
97,Senior Data Scientist,67000.0,Data mining
97,Senior Data Scientist,67000.0,Spark
97,Senior Data Scientist,67000.0,Machine learning
97,Senior Data Scientist,67000.0,Scala
97,Senior Data Scientist,67000.0,Natural language processing
98,Product Data Scientist,61500.0,TensorFlow
98,Product Data Scientist,61500.0,Azure
98,Product Data Scientist,61500.0,NoSQL
98,Product Data Scientist,61500.0,Test-driven development
98,Product Data Scientist,61500.0,Google Cloud Platform
99,Machine Learning Data Scientist,47000.0,Machine learning
99,Machine Learning Data Scientist,47000.0,Python
100,Data Scientist AI/ML,60000.0,Microsoft Windows Server
100,Data Scientist AI/ML,60000.0,Rust
100,Data Scientist AI/ML,60000.0,Relational databases
100,Data Scientist AI/ML,60000.0,Microsoft Office
100,Data Scientist AI/ML,60000.0,SQL
101,Data Scientist,58000.0,TensorFlow
101,Data Scientist,58000.0,Data modelling
101,Data Scientist,58000.0,Azure
101,Data Scientist,58000.0,Big data
101,Data Scientist,58000.0,Spark
102,Data Scientist (ASR),67000.0,Cloud infrastructure
102,Data Scientist (ASR),67000.0,Kubernetes
102,Data Scientist (ASR),67000.0,Relational databases
102,Data Scientist (ASR),67000.0,Git
102,Data Scientist (ASR),67000.0,Database design
103,Associate Data Scientist,50000.0,Docker
103,Associate Data Scientist,50000.0,Machine learning
103,Associate Data Scientist,50000.0,Software development
103,Associate Data Scientist,50000.0,Linux
103,Associate Data Scientist,50000.0,AI
104,Data Scientist - 6 Month Contract,49500.0,Jira
104,Data Scientist - 6 Month Contract,49500.0,TensorFlow
104,Data Scientist - 6 Month Contract,49500.0,R
104,Data Scientist - 6 Month Contract,49500.0,SQL
104,Data Scientist - 6 Month Contract,49500.0,Analysis skills
105,Data Engineer/Machine Learning Ops,34000.0,Oracle
105,Data Engineer/Machine Learning Ops,34000.0,Management
105,Data Engineer/Machine Learning Ops,34000.0,R
105,Data Engineer/Machine Learning Ops,34000.0,Microsoft SQL Server
105,Data Engineer/Machine Learning Ops,34000.0,Stata
106,Data Scientist,74000.0,Node.js
106,Data Scientist,74000.0,Data structures
106,Data Scientist,74000.0,SQL
106,Data Scientist,74000.0,Statistical analysis
106,Data Scientist,74000.0,Machine learning
107,Data Scientist,56000.0,Data analysis skills
107,Data Scientist,56000.0,AWS
107,Data Scientist,56000.0,UI
107,Data Scientist,56000.0,GitLab
108,CPRD FTC Data Scientist (OR),48000.0,Machine learning
108,CPRD FTC Data Scientist (OR),48000.0,PostgreSQL
108,CPRD FTC Data Scientist (OR),48000.0,Communication skills
108,CPRD FTC Data Scientist (OR),48000.0,Python
109,Data Scientist,70000.0,SQL
109,Data Scientist,70000.0,Product development
109,Data Scientist,70000.0,Communication skills
109,Data Scientist,70000.0,Python
110,Senior Translational Data Scientist,70000.0,Azure
110,Senior Translational Data Scientist,70000.0,SQL
110,Senior Translational Data Scientist,70000.0,Machine learning
110,Senior Translational Data Scientist,70000.0,Cloud computing
110,Senior Translational Data Scientist,70000.0,Python
111,Data Scientist,39000.0,Presentation skills
111,Data Scientist,39000.0,Organisational skills
111,Data Scientist,39000.0,APIs
111,Data Scientist,39000.0,Communication skills
111,Data Scientist,39000.0,Python
112,"Senior Data Scientist, Product Analytics",35500.0,TensorFlow
112,"Senior Data Scientist, Product Analytics",35500.0,Power BI
112,"Senior Data Scientist, Product Analytics",35500.0,Azure
112,"Senior Data Scientist, Product Analytics",35500.0,English
112,"Senior Data Scientist, Product Analytics",35500.0,Tableau
113,Senior Data Scientist,35000.0,Machine learning
113,Senior Data Scientist,35000.0,PostgreSQL
113,Senior Data Scientist,35000.0,Communication skills
113,Senior Data Scientist,35000.0,Python
114,Senior Data Scientist,83000.0,Alteryx
114,Senior Data Scientist,83000.0,SQL
114,Senior Data Scientist,83000.0,Machine learning
114,Senior Data Scientist,83000.0,Cloud computing
114,Senior Data Scientist,83000.0,Communication skills
115,Data Scientist,37000.0,TensorFlow
115,Data Scientist,37000.0,Machine learning
116,Data Scientist,63500.0,Azure
116,Data Scientist,63500.0,Big data
116,Data Scientist,63500.0,Spark
116,Data Scientist,63500.0,NoSQL
116,Data Scientist,63500.0,Information security
117,Operations Data Scientist,64000.0,TensorFlow
117,Operations Data Scientist,64000.0,Image processing
117,Operations Data Scientist,64000.0,Spark
117,Operations Data Scientist,64000.0,Statistical analysis
117,Operations Data Scientist,64000.0,Machine learning
118,Senior Data Scientist,53500.0,Power BI
118,Senior Data Scientist,53500.0,Azure
118,Senior Data Scientist,53500.0,Waterfall
118,Senior Data Scientist,53500.0,Big data
118,Senior Data Scientist,53500.0,Spark
119,DATA SCIENTIST,70000.0,Azure
119,DATA SCIENTIST,70000.0,Data analysis skills
119,DATA SCIENTIST,70000.0,NoSQL
119,DATA SCIENTIST,70000.0,Database design
